Settimana,Giorno,N_ore,Insegnamento,Docente
1,venerdi,2,presentazione_master,nessun_docente
1,venerdi,4,comunicazione_pubblicitaria_e_comunicazione_pubblica,gabardi
1,venerdi,2,la_gestione_delle_risorse_umane,lombardo
1,sabato,4,comunicazione_pubblicitaria_e_comunicazione_pubblica,gabardi
1,sabato,2,la_gestione_delle_risorse_umane,lombardo
2,sabato,2,project_management,muzzetto
2,sabato,4,linguaggi_di_markup,gena
3,venerdi,4,fondamenti_di_ICT_e_paradigmi_di_programmazione,pozzato
3,venerdi,2,progettazione_di_basi_di_dati,mazzei
3,sabato,4,project_management,muzzetto
3,sabato,2,la_gestione_delle_risorse_umane,lombardo
4,sabato,4,fondamenti_di_ICT_e_paradigmi_di_programmazione,pozzato
4,sabato,2,la_gestione_delle_risorse_umane,lombardo
4,venerdi,4,fondamenti_di_ICT_e_paradigmi_di_programmazione,pozzato
4,venerdi,4,progettazione_di_basi_di_dati,mazzei
5,venerdi,4,progettazione_di_basi_di_dati,mazzei
5,venerdi,3,accessibilita_e_usabilita_nella_progettazione_multimediale,gena
5,sabato,2,fondamenti_di_ICT_e_paradigmi_di_programmazione,pozzato
5,sabato,4,project_management,muzzetto
6,venerdi,2,project_management,muzzetto
6,sabato,2,project_management,muzzetto
6,sabato,4,linguaggi_di_markup,gena
6,venerdi,4,progettazione_di_basi_di_dati,mazzei
7,mercoledi,4,accessibilita_e_usabilita_nella_progettazione_multimediale,gena
7,martedi,3,acquisizione_ed_elaborazione_del_suono,valle
7,giovedi,4,accessibilita_e_usabilita_nella_progettazione_multimediale,gena
7,giovedi,4,progettazione_grafica_e_design_di_interfacce,terranova
7,lunedi,2,marketing_digitale,muzzetto
7,martedi,3,accessibilita_e_usabilita_nella_progettazione_multimediale,gena
7,martedi,2,la_gestione_della_qualita,tomatis
7,mercoledi,2,recupero,nessun_docente
7,lunedi,3,strumenti_e_metodi_di_interazione_nei_social_media,giordani
7,venerdi,2,la_gestione_delle_risorse_umane,lombardo
7,venerdi,4,marketing_digitale,muzzetto
7,sabato,4,acquisizione_ed_elaborazione_del_suono,valle
7,sabato,2,recupero,nessun_docente
